t,v,omega,x,y,theta
0,0.1,-0.700475960845483,0,0,-0
0.002,0.1,-0.700475960845483,0.000217898713007881,2.92265233465996e-05,-0.0011582941625363
0.004,0.1,-0.700475960845483,0.000435797426015762,5.84530466931992e-05,-0.00231658832507261
0.006,0.1,-0.700475960845483,0.000653696139023642,8.76795700397988e-05,-0.00347488248760891
0.008,0.1,-0.700475960845483,0.000871594852031523,0.000116906093386398,-0.00463317665014522
0.01,0.1,-0.700475960845483,0.0010894935650394,0.000146132616732998,-0.00579147081268153
0.012,0.1,-0.700475960845483,0.00130739227804728,0.000175359140079598,-0.00694976497521783
0.014,0.1,-0.700475960845483,0.00152529099105517,0.000204585663426197,-0.00810805913775414
0.016,0.1,-0.700475960845483,0.00174318970406305,0.000233812186772797,-0.00926635330029044
0.018,0.1,-0.700475960845483,0.00196108841707093,0.000263038710119396,-0.0104246474628267
0.02,0.1,-0.700475960845483,0.00217898713007881,0.000292265233465996,-0.0115829416253631
0.022,0.1,-0.700475960845483,0.00239688584308669,0.000321491756812596,-0.0127412357878994
0.024,0.1,-0.700475960845483,0.00261478455609457,0.000350718280159195,-0.0138995299504357
0.026,0.1,-0.700475960845483,0.00283268326910245,0.000379944803505795,-0.015057824112972
0.028,0.1,-0.700475960845483,0.00305058198211033,0.000409171326852394,-0.0162161182755083
0.03,0.1,-0.700475960845483,0.00326848069511821,0.000438397850198994,-0.0173744124380446
0.032,0.1,-0.700475960845483,0.00348637940812609,0.000467624373545594,-0.0185327066005809
0.034,0.1,-0.700475960845483,0.00370427812113397,0.000496850896892193,-0.0196910007631172
0.036,0.1,-0.700475960845483,0.00392217683414185,0.000526077420238793,-0.0208492949256535
0.038,0.1,-0.700475960845483,0.00414007554714973,0.000555303943585392,-0.0220075890881898
0.04,0.1,-0.700475960845483,0.00435797426015762,0.000584530466931992,-0.0231658832507261
0.042,0.1,-0.700475960845483,0.0045758729731655,0.000613756990278592,-0.0243241774132624
0.044,0.1,-0.700475960845483,0.00479377168617338,0.000642983513625191,-0.0254824715757987
0.046,0.1,-0.700475960845483,0.00501167039918126,0.000672210036971791,-0.026640765738335
0.048,0.1,-0.700475960845483,0.00522956911218914,0.00070143656031839,-0.0277990599008713
0.05,0.1,-0.700475960845483,0.00544746782519702,0.00073066308366499,-0.0289573540634076
0.052,0.1,-0.700475960845483,0.0056653665382049,0.00075988960701159,-0.0301156482259439
0.054,0.1,-0.700475960845483,0.00588326525121278,0.000789116130358189,-0.0312739423884802
0.056,0.1,-0.700475960845483,0.00610116396422066,0.000818342653704789,-0.0324322365510165
0.058,0.1,-0.700475960845483,0.00631906267722854,0.000847569177051388,-0.0335905307135528
0.06,0.1,-0.700475960845483,0.00653696139023642,0.000876795700397988,-0.0347488248760892
0.062,0.1,-0.700475960845483,0.0067548601032443,0.000906022223744588,-0.0359071190386255
0.064,0.1,-0.700475960845483,0.00697275881625219,0.000935248747091187,-0.0370654132011618
0.066,0.1,-0.700475960845483,0.00719065752926007,0.000964475270437787,-0.0382237073636981
0.068,0.1,-0.700475960845483,0.00740855624226795,0.000993701793784387,-0.0393820015262344
0.07,0.1,-0.700475960845483,0.00762645495527583,0.00102292831713099,-0.0405402956887707
0.072,0.1,-0.700475960845483,0.00784435366828371,0.00105215484047759,-0.041698589851307
0.074,0.1,-0.700475960845483,0.00806225238129159,0.00108138136382419,-0.0428568840138433
0.076,0.1,-0.700475960845483,0.00828015109429947,0.00111060788717078,-0.0440151781763796
0.078,0.1,-0.700475960845483,0.00849804980730735,0.00113983441051738,-0.0451734723389159
0.08,0.1,-0.700475960845483,0.00871594852031523,0.00116906093386398,-0.0463317665014522
0.082,0.1,-0.700475960845483,0.00893384723332311,0.00119828745721058,-0.0474900606639885
0.084,0.1,-0.700475960845483,0.00915174594633099,0.00122751398055718,-0.0486483548265248
0.086,0.1,-0.700475960845483,0.00936964465933888,0.00125674050390378,-0.0498066489890611
0.088,0.1,-0.700475960845483,0.00958754337234675,0.00128596702725038,-0.0509649431515974
0.09,0.1,-0.700475960845483,0.00980544208535463,0.00131519355059698,-0.0521232373141337
0.092,0.1,-0.700475960845483,0.0100233407983625,0.00134442007394358,-0.05328153147667
0.094,0.1,-0.700475960845483,0.0102412395113704,0.00137364659729018,-0.0544398256392063
0.096,0.1,-0.700475960845483,0.0104591382243783,0.00140287312063678,-0.0555981198017426
0.098,0.1,-0.700475960845483,0.0106770369373862,0.00143209964398338,-0.0567564139642789
0.1,0.1,-0.700475960845483,0.010894935650394,0.00146132616732998,-0.0579147081268153
0.102,0.1,-0.700475960845483,0.0111128343634019,0.00149055269067658,-0.0590730022893516
0.104,0.1,-0.700475960845483,0.0113307330764098,0.00151977921402318,-0.0602312964518879
0.106,0.1,-0.700475960845483,0.0115486317894177,0.00154900573736978,-0.0613895906144242
0.108,0.1,-0.700475960845483,0.0117665305024256,0.00157823226071638,-0.0625478847769605
0.11,0.1,-0.700475960845483,0.0119844292154334,0.00160745878406298,-0.0637061789394968
0.112,0.1,-0.700475960845483,0.0122023279284413,0.00163668530740958,-0.0648644731020331
0.114,0.1,-0.700475960845483,0.0124202266414492,0.00166591183075618,-0.0660227672645694
0.116,0.1,-0.700475960845483,0.0126381253544571,0.00169513835410278,-0.0671810614271057
0.118,0.1,-0.700475960845483,0.012856024067465,0.00172436487744938,-0.068339355589642
0.12,0.1,-0.700475960845483,0.0130739227804728,0.00175359140079598,-0.0694976497521783
0.122,0.1,-0.700475960845483,0.0132918214934807,0.00178281792414258,-0.0706559439147146
0.124,0.1,-0.700475960845483,0.0135097202064886,0.00181204444748918,-0.0718142380772509
0.126,0.1,-0.700475960845483,0.0137276189194965,0.00184127097083577,-0.0729725322397872
0.128,0.1,-0.700475960845483,0.0139455176325044,0.00187049749418237,-0.0741308264023235
0.13,0.1,-0.700475960845483,0.0141634163455123,0.00189972401752897,-0.0752891205648598
0.132,0.1,-0.700475960845483,0.0143813150585201,0.00192895054087557,-0.0764474147273961
0.134,0.1,-0.700475960845483,0.014599213771528,0.00195817706422217,-0.0776057088899324
0.136,0.1,-0.700475960845483,0.0148171124845359,0.00198740358756877,-0.0787640030524688
0.138,0.1,-0.700475960845483,0.0150350111975438,0.00201663011091537,-0.0799222972150051
0.14,0.1,-0.700475960845483,0.0152529099105517,0.00204585663426197,-0.0810805913775414
0.142,0.1,-0.700475960845483,0.0154708086235595,0.00207508315760857,-0.0822388855400777
0.144,0.1,-0.700475960845483,0.0156887073365674,0.00210430968095517,-0.083397179702614
0.146,0.1,-0.700475960845483,0.0159066060495753,0.00213353620430177,-0.0845554738651503
0.148,0.1,-0.700475960845483,0.0161245047625832,0.00216276272764837,-0.0857137680276866
